model,RSS,mahalanobis_distance,euclidean_distance,stability_rank
gpt-4,0.0007561618909469,0.3325890074396845,2.8284271247461903,1
fastchat-t5-3b,0.0043332444617166,1.6239750852079935,3.3166247903554,2
vicuna-7b,0.0049071442235708,1.1980970626787386,4.898979485566356,3
koala-13b,0.0054554369094368,1.512067690793702,8.831760866327848,4
gpt-3.5-turbo,0.0057853163001089,1.7068043680983234,12.806248474865695,5
dolly-v2-12b,0.0063671241295477,1.6905043981495151,4.47213595499958,6
stablelm-tuned-alpha-7b,0.0072513214004359,2.030547652980956,6.4031242374328485,7
llama-13b,0.0085531399547206,2.1928969450205216,5.385164807134504,8
claude-instant-v1,0.012276333488482,2.394625498232818,17.11724276862369,9
claude-v1,0.0131786063424208,3.097161540731668,24.12467616362964,10
mpt-7b-chat,0.0136218347018055,2.0460421338088017,5.0990195135927845,11
vicuna-13b,0.0193728827090478,2.05446079284467,3.605551275463989,12
guanaco-33b,0.0195754798690725,3.252261140214624,9.219544457292889,13
chatglm-6b,0.0196598325899749,3.816780277056657,13.07669683062202,14
rwkv-4-raven-14b,0.023770521435382,2.474865382298916,8.48528137423857,15
gpt4all-13b-snoozy,0.0262995967638681,2.86741678020422,13.820274961085254,16
wizardlm-13b,0.0295784322143041,2.421645954470816,4.898979485566356,17
oasst-pythia-12b,0.0362795780556396,2.462242111652856,8.0,18
alpaca-13b,0.0488978413234941,2.8610190427730338,12.727922061357855,19
palm-2,0.050096854999179,3.9097257909485728,18.16590212458495,20
